Comment,Designator,Footprint,JLCPCB Part #
100nF,C2,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,
10k,"R3,R6",Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
1k,"R2,R5",Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
2N3904,"Q3,Q6",Package_TO_SOT_THT:TO-92_Inline,
470,"R1,R4",Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,
470uF,C1,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,
ADC sense,U6,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,
ESP32-DevKitC-V4,M1,RF_Module:ESP32-WROOM-32,
IRF4905,"Q1,Q4",Package_TO_SOT_THT:TO-220-3_Vertical,
IRFZ44N,"Q2,Q5",Package_TO_SOT_THT:TO-220-3_Vertical,
Input,"U3,U4,U5",Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
Motor,J1,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",
Pulse source,U7,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
Rotary encoder,U2,Rotary_Encoder:RotaryEncoder_Alps_EC11E_Vertical_H20mm,
SSD1306,U1,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,
